client,total_cost,total_clicks,total_impressions,total_sales,total_gmv,ctr,cvr,roas,cpc,cpo,aov
ABC,295098.0,11184515,370103543,574221,21623886.0,0.030219961985070758,0.05134071526570441,73.27696561820142,0.026384514661565567,0.5139101495765568,37.657776361366096
DEF,72390.0,4263033,248119041,314554,2541305.0,0.017181402051283923,0.07378643327415012,35.10574665008979,0.01698086784690618,0.23013536626461592,8.079073863311228
XYZ,136604.0,488830,175939652,8431,1675219.0,0.0027783958558699434,0.017247304788985948,12.263323182337267,0.279450933862488,16.202585695647016,198.69754477523426
